GRE,MUNICIPIO,MESCADO - MUNICÍPIO E ESCOLA,CODIGOESCOLA,ESCOLA,DATAS,MATERIAIS,ALOCAÇÃO,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO,TOTAL DE ALUNOS,HAS_DATE
10ª REGIAO DE ENSINO,APARECIDA,APARECIDA - EMEF ANTONIO MEIRA DE SA,25019481,EMEF ANTONIO MEIRA DE SA,12/11/2025,Apenas dos testes,Concluído,15,11,26,1
10ª REGIAO DE ENSINO,APARECIDA,APARECIDA - EMEF DJALMA GOMES DE SA,25019392,EMEF DJALMA GOMES DE SA,"17/11/2025, 18/11/2025",Apenas dos testes,Concluído,7,6,13,1
10ª REGIAO DE ENSINO,APARECIDA,APARECIDA - EMEF JOAO BATISTA DA SILVA,25019023,EMEF JOAO BATISTA DA SILVA,"17/11/2025, 18/11/2025",Apenas dos testes,Concluído,3,5,8,1
10ª REGIAO DE ENSINO,APARECIDA,APARECIDA - EMEF JOAQUIM HONORIO DE QUEIROGA,25018728,EMEF JOAQUIM HONORIO DE QUEIROGA,"17/11/2025, 18/11/2025",Apenas dos testes,Concluído,6,-,6,1
10ª REGIAO DE ENSINO,APARECIDA,APARECIDA - EMEF JOAQUINA AMELIA DE SA,25019406,EMEF JOAQUINA AMELIA DE SA,"13/11/2025, 14/11/2025",Apenas dos testes,Concluído,21,15,36,1
10ª REGIAO DE ENSINO,APARECIDA,APARECIDA - EMEF JORGE DELFINO DE LIMA,25018914,EMEF JORGE DELFINO DE LIMA,"17/11/2025, 18/11/2025",Apenas dos testes,Concluído,4,1,5,1
10ª REGIAO DE ENSINO,APARECIDA,APARECIDA - EMEF LILI QUEIROGA,25019490,EMEF LILI QUEIROGA,nan,nan,nan,10,9,19,0
10ª REGIAO DE ENSINO,APARECIDA,APARECIDA - EMEF NIVALDO GOMES DE SA,25019678,EMEF NIVALDO GOMES DE SA,"17/11/2025, 18/11/2025",Apenas dos testes,Concluído,4,5,9,1
10ª REGIAO DE ENSINO,APARECIDA,APARECIDA - EMEF SEVERINA FERREIRA DE SOUSA,25241923,EMEF SEVERINA FERREIRA DE SOUSA,"17/11/2025, 18/11/2025",Apenas dos testes,Concluído,16,24,40,1
10ª REGIAO DE ENSINO,APARECIDA,APARECIDA - ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL NABOR MEIRA GARRIDO,25133195,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL NABOR MEIRA GARRIDO,"17/11/2025, 18/11/2025",Apenas dos testes,Concluído,2,1,3,1
10ª REGIAO DE ENSINO,LASTRO,LASTRO - EMEIF ISRAEL ABRANTES FERREIRA,25014560,EMEIF ISRAEL ABRANTES FERREIRA,"13/11/2025, 14/11/2025","Sim, de todos os materiais e testes",Em andamento,8,11,19,1
10ª REGIAO DE ENSINO,LASTRO,LASTRO - EMEIF JOAO TEODORO DE OLIVIERA,25014536,EMEIF JOAO TEODORO DE OLIVIERA,13/11/2025,"Sim, de todos os materiais e testes",Em andamento,3,2,5,1
10ª REGIAO DE ENSINO,LASTRO,LASTRO - EMEIF MARIA JOAQUINA DE ABRANTES,25014501,EMEIF MARIA JOAQUINA DE ABRANTES,nan,nan,nan,7,4,11,0
